top - 11:11:19 up  2:43,  4 users,  load average: 1.15, 0.45, 0.32
Tasks: 319 total,   2 running, 317 sleeping,   0 stopped,   0 zombie
%Cpu(s): 24.2 us, 24.2 sy,  0.0 ni, 50.5 id,  1.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3354.5 total,    429.7 free,   1436.6 used,   1806.2 buff/cache     
MiB Swap:   3530.0 total,   3526.0 free,      4.0 used.   1917.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3252 sysadmin  20   0   22476  13052  10492 S   0.0   0.4   0:00.95 systemd
   3253 sysadmin  20   0   22476   3620   1760 S   0.0   0.1   0:00.00 (sd-pam)
   3267 sysadmin  20   0    7776   3712   3456 S   0.0   0.1   0:00.03 mpris-p+
   3268 sysadmin  20   0   12296   6604   4300 S   0.0   0.2   0:01.47 bash
   3271 sysadmin  20   0   99296   8344   6808 S   0.0   0.2   0:00.10 pipewire
   3274 sysadmin  20   0   87692   5688   5048 S   0.0   0.2   0:00.05 pipewire
   3276 sysadmin  20   0   39136  11728  10320 S   0.0   0.3   0:00.36 snapd-d+
   3277 sysadmin  20   0  401936  14636  11820 S   0.0   0.4   0:00.29 wireplu+
   3278 sysadmin  20   0  108572  10380   9228 S   0.0   0.3   0:00.11 pipewir+
   3280 sysadmin  20   0    8804   4968   4584 S   0.0   0.1   0:00.09 dbus-da+
   3321 sysadmin  20   0  609136   7232   6720 S   0.0   0.2   0:00.08 xdg-doc+
   3332 sysadmin  20   0  310048   6544   6160 S   0.0   0.2   0:00.05 xdg-per+
   3343 root      20   0    2772   2200   2200 S   0.0   0.1   0:00.02 fusermo+
   3433 sysadmin  20   0  352832  21216  17612 S   0.0   0.6   0:00.26 snapd-d+
   3774 mellab6   20   0 1689332  22044  15156 S   0.0   0.6   0:02.24 snap
   4659 mellab6   20   0  123408   9520   5252 S   0.0   0.3   0:01.44 speech-+
   4672 mellab6   20   0   28716   9440   5984 S   0.0   0.3   0:00.02 sd_espe+
   4678 mellab6   20   0  165504   5792   5152 S   0.0   0.2   0:11.56 sd_dummy
   4681 mellab6   20   0   28784   9276   5948 S   0.0   0.3   0:00.58 sd_espe+
   4715 root      20   0  487840  44108  36800 S   0.0   1.3   0:06.15 fwupd
   4984 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5043 mellab6   20   0  315836   9032   8136 S   0.0   0.3   0:00.09 gvfsd-r+
   5045 mellab6   20   0  389804   9480   8456 S   0.0   0.3   0:00.11 gvfsd-n+
   5057 mellab6   20   0  391188   9384   8488 S   0.0   0.3   0:00.16 gvfsd-d+
   5064 mellab6   20   0  463084   8996   7972 S   0.0   0.3   0:01.85 gvfsd-w+
   5069 mellab6   20   0   44436  30856  12224 S   0.0   0.9   0:01.82 python3
   5077 mellab6   20   0 1402032 176400 106348 S   0.0   5.1   0:10.58 gnome-t+
   5269 root      20   0       0      0      0 I   0.0   0.0   0:03.27 kworker+
   5517 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker+
   5628 root      20   0       0      0      0 I   0.0   0.0   0:03.13 kworker+
   6277 mellab6   20   0  389952   9448   8296 S   0.0   0.3   0:00.07 gvfsd-c+
   6673 root      20   0   32632  12380  10332 S   0.0   0.4   0:00.02 cupsd
   6683 lp        20   0   15800   6744   5976 S   0.0   0.2   0:00.00 dbus
   6686 cups-br+  20   0  209372  21396  18324 S   0.0   0.6   0:00.16 cups-br+
  27631 root      20   0       0      0      0 I   0.0   0.0   0:01.74 kworker+
  27738 root      20   0       0      0      0 I   0.0   0.0   0:01.20 kworker+
  27753 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
  28022 root       0 -20       0      0      0 I   0.0   0.0   0:00.45 kworker+
  28402 root       0 -20       0      0      0 I   0.0   0.0   0:01.80 kworker+
  28429 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
  28537 root       0 -20       0      0      0 I   0.0   0.0   0:00.02 kworker+
  28622 root      20   0       0      0      0 I   0.0   0.0   0:27.14 kworker+
  28628 root      20   0       0      0      0 I   0.0   0.0   0:14.00 kworker+
  28673 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker+
  28686 root      20   0       0      0      0 I   0.0   0.0   0:00.85 kworker+
  28731 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  28747 root       0 -20       0      0      0 I   0.0   0.0   0:00.30 kworker+
  28779 root      20   0       0      0      0 I   0.0   0.0   0:00.18 kworker+
  28795 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  28804 root      20   0       0      0      0 I   0.0   0.0   0:01.90 kworker+
  28805 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  28893 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  28931 mellab6   20   0 2923016  62540  48828 S   0.0   1.8   0:02.00 gjs
  28969 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
